country_code,country,measure,sex,age,frequency,time_period,value,units
IRL,Ireland,Employment rate,Male,From 25 to 54 years,Annual,2016,82.275,Units
IRL,Ireland,Employment rate,Male,From 25 to 54 years,Annual,2017,84.5,Units
IRL,Ireland,Employment rate,Male,From 25 to 54 years,Annual,2018,85.6,Units
IRL,Ireland,Employment rate,Male,From 25 to 54 years,Annual,2019,86.7,Units
IRL,Ireland,Employment rate,Male,From 25 to 54 years,Annual,2020,84.25,Units
IRL,Ireland,Employment rate,Male,From 25 to 54 years,Annual,2021,85.425,Units
IRL,Ireland,Employment rate,Male,From 25 to 54 years,Annual,2022,88.55,Units
IRL,Ireland,Employment rate,Male,From 25 to 54 years,Annual,2023,88.6,Units
IRL,Ireland,Employment rate,Male,From 25 to 54 years,Annual,2010,75.225,Units
IRL,Ireland,Employment rate,Male,From 25 to 54 years,Annual,2011,74.125,Units
IRL,Ireland,Employment rate,Male,From 25 to 54 years,Annual,2012,74.575,Units
IRL,Ireland,Employment rate,Male,From 25 to 54 years,Annual,2013,77.025,Units
IRL,Ireland,Employment rate,Male,From 25 to 54 years,Annual,2014,79.425,Units
FIN,Finland,Employment rate,Total,From 55 to 64 years,Annual,2016,60.65,Units
FIN,Finland,Employment rate,Total,From 55 to 64 years,Annual,2017,61.725,Units
FIN,Finland,Employment rate,Total,From 55 to 64 years,Annual,2018,64.6,Units
FIN,Finland,Employment rate,Total,From 55 to 64 years,Annual,2019,65.875,Units
FIN,Finland,Employment rate,Total,From 55 to 64 years,Annual,2020,66.625,Units
FIN,Finland,Employment rate,Total,From 55 to 64 years,Annual,2021,68.35,Units
FIN,Finland,Employment rate,Total,From 55 to 64 years,Annual,2022,71.225,Units
FIN,Finland,Employment rate,Total,From 55 to 64 years,Annual,2023,71.725,Units
FIN,Finland,Employment rate,Total,From 55 to 64 years,Annual,2010,55.4,Units
FIN,Finland,Employment rate,Total,From 55 to 64 years,Annual,2011,56.15,Units
FIN,Finland,Employment rate,Total,From 55 to 64 years,Annual,2012,57.4,Units
FIN,Finland,Employment rate,Total,From 55 to 64 years,Annual,2013,57.85,Units
FIN,Finland,Employment rate,Total,From 55 to 64 years,Annual,2014,58.475,Units
ITA,Italy,Unemployment rate,Total,From 15 to 64 years,Annual,2011,8.627376,Units
ITA,Italy,Unemployment rate,Total,From 15 to 64 years,Annual,2010,8.625846,Units
ITA,Italy,Unemployment rate,Total,From 15 to 64 years,Annual,2023,7.8,Units
ITA,Italy,Unemployment rate,Total,From 15 to 64 years,Annual,2022,8.225,Units
ITA,Italy,Unemployment rate,Total,From 15 to 64 years,Annual,2021,9.725,Units
ITA,Italy,Unemployment rate,Total,From 15 to 64 years,Annual,2020,9.515643,Units
ITA,Italy,Unemployment rate,Total,From 15 to 64 years,Annual,2019,10.11398,Units
ITA,Italy,Unemployment rate,Total,From 15 to 64 years,Annual,2018,10.76731,Units
ITA,Italy,Unemployment rate,Total,From 15 to 64 years,Annual,2017,11.44021,Units
ITA,Italy,Unemployment rate,Total,From 15 to 64 years,Annual,2016,11.91512,Units
ITA,Italy,Unemployment rate,Total,From 15 to 64 years,Annual,2015,12.17081,Units
ITA,Italy,Unemployment rate,Total,From 15 to 64 years,Annual,2014,13.03108,Units
ITA,Italy,Unemployment rate,Total,From 15 to 64 years,Annual,2013,12.53073,Units
AUS,Australia,Inactivity rate,Female,15 years or over,Annual,2017,40.12235,Units
AUS,Australia,Inactivity rate,Female,15 years or over,Annual,2018,39.56753,Units
AUS,Australia,Inactivity rate,Female,15 years or over,Annual,2019,39.09119,Units
AUS,Australia,Inactivity rate,Female,15 years or over,Annual,2020,39.93308,Units
AUS,Australia,Inactivity rate,Female,15 years or over,Annual,2021,38.94545,Units
AUS,Australia,Inactivity rate,Female,15 years or over,Annual,2022,37.73125,Units
AUS,Australia,Inactivity rate,Female,15 years or over,Annual,2023,37.37979,Units
AUS,Australia,Inactivity rate,Female,15 years or over,Annual,2010,41.38763,Units
AUS,Australia,Inactivity rate,Female,15 years or over,Annual,2011,41.13755,Units
AUS,Australia,Inactivity rate,Female,15 years or over,Annual,2012,41.23425,Units
AUS,Australia,Inactivity rate,Female,15 years or over,Annual,2013,41.32013,Units
AUS,Australia,Inactivity rate,Female,15 years or over,Annual,2014,41.34716,Units
AUS,Australia,Inactivity rate,Female,15 years or over,Annual,2015,40.89388,Units
HUN,Hungary,Employment rate,Female,15 years or over,Annual,2017,46.15,Units
HUN,Hungary,Employment rate,Female,15 years or over,Annual,2016,45.6,Units
HUN,Hungary,Employment rate,Female,15 years or over,Annual,2015,44.025,Units
HUN,Hungary,Employment rate,Female,15 years or over,Annual,2014,42.8,Units
HUN,Hungary,Employment rate,Female,15 years or over,Annual,2013,40.55,Units
HUN,Hungary,Employment rate,Female,15 years or over,Annual,2012,40.175,Units
HUN,Hungary,Employment rate,Female,15 years or over,Annual,2011,39.15,Units
HUN,Hungary,Employment rate,Female,15 years or over,Annual,2010,39.125,Units
HUN,Hungary,Employment rate,Female,15 years or over,Annual,2023,52.225,Units
HUN,Hungary,Employment rate,Female,15 years or over,Annual,2022,51.8,Units
HUN,Hungary,Employment rate,Female,15 years or over,Annual,2021,50.55,Units
HUN,Hungary,Employment rate,Female,15 years or over,Annual,2020,46.3,Units
HUN,Hungary,Employment rate,Female,15 years or over,Annual,2019,47.025,Units
ISR,Israel,Inactivity rate,Male,From 25 to 54 years,Annual,2011,16.23016,Units
ISR,Israel,Inactivity rate,Male,From 25 to 54 years,Annual,2010,16.23803,Units
ISR,Israel,Inactivity rate,Male,From 25 to 54 years,Annual,2023,14.31667,Units
ISR,Israel,Inactivity rate,Male,From 25 to 54 years,Annual,2022,14.15833,Units
ISR,Israel,Inactivity rate,Male,From 25 to 54 years,Annual,2021,16.075,Units
ISR,Israel,Inactivity rate,Male,From 25 to 54 years,Annual,2020,15.60833,Units
ISR,Israel,Inactivity rate,Male,From 25 to 54 years,Annual,2019,13.7,Units
ISR,Israel,Inactivity rate,Male,From 25 to 54 years,Annual,2018,13.45833,Units
ISR,Israel,Inactivity rate,Male,From 25 to 54 years,Annual,2017,13.03333,Units
ISR,Israel,Inactivity rate,Male,From 25 to 54 years,Annual,2016,13.075,Units
ISR,Israel,Inactivity rate,Male,From 25 to 54 years,Annual,2015,12.71667,Units
ISR,Israel,Inactivity rate,Male,From 25 to 54 years,Annual,2014,13.18333,Units
ISR,Israel,Inactivity rate,Male,From 25 to 54 years,Annual,2013,13.49167,Units
HUN,Hungary,Inactivity rate,Male,From 15 to 74 years,Annual,2022,27.45,Units
HUN,Hungary,Inactivity rate,Male,From 15 to 74 years,Annual,2021,28.275,Units
HUN,Hungary,Inactivity rate,Male,From 15 to 74 years,Annual,2020,28.875,Units
HUN,Hungary,Inactivity rate,Male,From 15 to 74 years,Annual,2019,28.85,Units
HUN,Hungary,Inactivity rate,Male,From 15 to 74 years,Annual,2018,29.675,Units
HUN,Hungary,Inactivity rate,Male,From 15 to 74 years,Annual,2017,30.425,Units
HUN,Hungary,Inactivity rate,Male,From 15 to 74 years,Annual,2016,31.425,Units
HUN,Hungary,Inactivity rate,Male,From 15 to 74 years,Annual,2015,32.8,Units
HUN,Hungary,Inactivity rate,Male,From 15 to 74 years,Annual,2014,34.25,Units
HUN,Hungary,Inactivity rate,Male,From 15 to 74 years,Annual,2013,36.1,Units
HUN,Hungary,Inactivity rate,Male,From 15 to 74 years,Annual,2012,37.125,Units
HUN,Hungary,Inactivity rate,Male,From 15 to 74 years,Annual,2011,38.075,Units
