country_code,country,isced,gender,age,piaac_category_code,piaac_category,indicator,year,value
AUS,Australia,Below upper secondary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",2012,50.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L2,Level (2),"Employment rates, by literacy proficiency level ",2012,65.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L3,Level (3),"Employment rates, by literacy proficiency level ",2012,73.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by literacy proficiency level ",2012,71.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",2012,66.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L2,Level (2),"Employment rates, by literacy proficiency level ",2012,75.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L3,Level (3),"Employment rates, by literacy proficiency level ",2012,79.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by literacy proficiency level ",2012,82.0
AUS,Australia,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",2012,70.0
AUS,Australia,Tertiary education,Total,25-64 years,L2,Level (2),"Employment rates, by literacy proficiency level ",2012,80.0
AUS,Australia,Tertiary education,Total,25-64 years,L3,Level (3),"Employment rates, by literacy proficiency level ",2012,85.0
AUS,Australia,Tertiary education,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by literacy proficiency level ",2012,89.0
AUS,Australia,All ISCED levels,Total,25-64 years,L0_1,Level (0/1),"Employment rates, by literacy proficiency level ",2012,57.0
AUS,Australia,All ISCED levels,Total,25-64 years,L2,Level (2),"Employment rates, by literacy proficiency level ",2012,73.0
AUS,Australia,All ISCED levels,Total,25-64 years,L3,Level (3),"Employment rates, by literacy proficiency level ",2012,80.0
AUS,Australia,All ISCED levels,Total,25-64 years,L4_5,Level (4/5),"Employment rates, by literacy proficiency level ",2012,86.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by literacy proficiency level ",2012,3.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L2,Level (2),"Share of unemployed, by literacy proficiency level ",2012,4.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L3,Level (3),"Share of unemployed, by literacy proficiency level ",2012,3.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by literacy proficiency level ",2012,
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by literacy proficiency level ",2012,5.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L2,Level (2),"Share of unemployed, by literacy proficiency level ",2012,4.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L3,Level (3),"Share of unemployed, by literacy proficiency level ",2012,3.0
AUS,Australia,Upper secondary education or post-secondary non-tertiary,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by literacy proficiency level ",2012,4.0
AUS,Australia,Tertiary education,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by literacy proficiency level ",2012,5.0
AUS,Australia,Tertiary education,Total,25-64 years,L2,Level (2),"Share of unemployed, by literacy proficiency level ",2012,4.0
AUS,Australia,Tertiary education,Total,25-64 years,L3,Level (3),"Share of unemployed, by literacy proficiency level ",2012,3.0
AUS,Australia,Tertiary education,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by literacy proficiency level ",2012,2.0
AUS,Australia,All ISCED levels,Total,25-64 years,L0_1,Level (0/1),"Share of unemployed, by literacy proficiency level ",2012,4.0
AUS,Australia,All ISCED levels,Total,25-64 years,L2,Level (2),"Share of unemployed, by literacy proficiency level ",2012,4.0
AUS,Australia,All ISCED levels,Total,25-64 years,L3,Level (3),"Share of unemployed, by literacy proficiency level ",2012,3.0
AUS,Australia,All ISCED levels,Total,25-64 years,L4_5,Level (4/5),"Share of unemployed, by literacy proficiency level ",2012,3.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L0_1,Level (0/1),"Inactivity rates, by literacy proficiency level ",2012,47.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L2,Level (2),"Inactivity rates, by literacy proficiency level ",2012,32.0
AUS,Australia,Below upper secondary education,Total,25-64 years,L3,Level (3),"Inactivity rates, by literacy proficiency level ",2012,24.0
