sheet,column,age,measure,Release Date,Next release
People - SA,1,Aged 16-24,Young people who were NEET_Total,2024-05-23,2024-08-22
People - SA,2,Aged 16-24,Young people who were NEET_Unemployed,2024-05-23,2024-08-22
People - SA,3,Aged 16-24,Young people who were NEET_Economically inactive,2024-05-23,2024-08-22
People - SA,4,Aged 16-24,Total people in relevant population group,2024-05-23,2024-08-22
People - SA,5,Aged 16-24,People who were NEET as a percentage of people in relevant population group,2024-05-23,2024-08-22
People - SA,6,Aged 16-17,Young people who were NEET_Total,2024-05-23,2024-08-22
People - SA,7,Aged 16-17,Young people who were NEET_Unemployed,2024-05-23,2024-08-22
People - SA,8,Aged 16-17,Young people who were NEET_Economically inactive,2024-05-23,2024-08-22
People - SA,9,Aged 16-17,Total people in relevant population group,2024-05-23,2024-08-22
People - SA,10,Aged 16-17,People who were NEET as a percentage of people in relevant population group,2024-05-23,2024-08-22
People - SA,11,Aged 18-24,Young people who were NEET_Total,2024-05-23,2024-08-22
People - SA,12,Aged 18-24,Young people who were NEET_Unemployed,2024-05-23,2024-08-22
People - SA,13,Aged 18-24,Young people who were NEET_Economically inactive,2024-05-23,2024-08-22
People - SA,14,Aged 18-24,Total people in relevant population group,2024-05-23,2024-08-22
People - SA,15,Aged 18-24,People who were NEET as a percentage of people in relevant population group,2024-05-23,2024-08-22
Men - SA,1,Aged 16-24,Young people who were NEET_Total,2024-05-23,2024-08-22
Men - SA,2,Aged 16-24,Young people who were NEET_Unemployed,2024-05-23,2024-08-22
Men - SA,3,Aged 16-24,Young people who were NEET_Economically inactive,2024-05-23,2024-08-22
Men - SA,4,Aged 16-24,Total people in relevant population group,2024-05-23,2024-08-22
Men - SA,5,Aged 16-24,People who were NEET as a percentage of people in relevant population group,2024-05-23,2024-08-22
Men - SA,6,Aged 16-17,Young people who were NEET_Total,2024-05-23,2024-08-22
Men - SA,7,Aged 16-17,Young people who were NEET_Unemployed,2024-05-23,2024-08-22
Men - SA,8,Aged 16-17,Young people who were NEET_Economically inactive,2024-05-23,2024-08-22
Men - SA,9,Aged 16-17,Total people in relevant population group,2024-05-23,2024-08-22
Men - SA,10,Aged 16-17,People who were NEET as a percentage of people in relevant population group,2024-05-23,2024-08-22
Men - SA,11,Aged 18-24,Young people who were NEET_Total,2024-05-23,2024-08-22
Men - SA,12,Aged 18-24,Young people who were NEET_Unemployed,2024-05-23,2024-08-22
Men - SA,13,Aged 18-24,Young people who were NEET_Economically inactive,2024-05-23,2024-08-22
Men - SA,14,Aged 18-24,Total people in relevant population group,2024-05-23,2024-08-22
Men - SA,15,Aged 18-24,People who were NEET as a percentage of people in relevant population group,2024-05-23,2024-08-22
Women - SA,1,Aged 16-24,Young people who were NEET_Total,2024-05-23,2024-08-22
Women - SA,2,Aged 16-24,Young people who were NEET_Unemployed,2024-05-23,2024-08-22
Women - SA,3,Aged 16-24,Young people who were NEET_Economically inactive,2024-05-23,2024-08-22
Women - SA,4,Aged 16-24,Total people in relevant population group,2024-05-23,2024-08-22
Women - SA,5,Aged 16-24,People who were NEET as a percentage of people in relevant population group,2024-05-23,2024-08-22
Women - SA,6,Aged 16-17,Young people who were NEET_Total,2024-05-23,2024-08-22
Women - SA,7,Aged 16-17,Young people who were NEET_Unemployed,2024-05-23,2024-08-22
Women - SA,8,Aged 16-17,Young people who were NEET_Economically inactive,2024-05-23,2024-08-22
Women - SA,9,Aged 16-17,Total people in relevant population group,2024-05-23,2024-08-22
Women - SA,10,Aged 16-17,People who were NEET as a percentage of people in relevant population group,2024-05-23,2024-08-22
Women - SA,11,Aged 18-24,Young people who were NEET_Total,2024-05-23,2024-08-22
Women - SA,12,Aged 18-24,Young people who were NEET_Unemployed,2024-05-23,2024-08-22
Women - SA,13,Aged 18-24,Young people who were NEET_Economically inactive,2024-05-23,2024-08-22
Women - SA,14,Aged 18-24,Total people in relevant population group,2024-05-23,2024-08-22
Women - SA,15,Aged 18-24,People who were NEET as a percentage of people in relevant population group,2024-05-23,2024-08-22
