new_la_code,time_period,time_identifier,geographic_level,version,education_investment_area_flag,priority_area_flag,establishment_type,gender,variable,value
E06000001,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,38.5
E06000001,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,44.2
E06000001,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,41.2
E06000002,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,37.2
E06000002,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,42.8
E06000002,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,40.0
E06000003,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,43.2
E06000003,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,47.3
E06000003,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,45.2
E06000004,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,44.3
E06000004,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,47.3
E06000004,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,45.8
E06000005,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Boys,avg_att8,43.6
E06000005,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Girls,avg_att8,48.7
E06000005,202223,Academic year,Local authority,Provisional,1,0,State-funded schools (LA),Total,avg_att8,46.2
E06000006,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Boys,avg_att8,39.2
E06000006,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Girls,avg_att8,46.2
E06000006,202223,Academic year,Local authority,Provisional,1,1,State-funded schools (LA),Total,avg_att8,42.6
E06000007,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,45.6
E06000007,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,50.4
E06000007,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Total,avg_att8,47.9
E06000008,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Boys,avg_att8,42.2
E06000008,202223,Academic year,Local authority,Provisional,0,0,State-funded schools (LA),Girls,avg_att8,47.5
