date,sheet,age,measure,value
1992-05-01,UK,Aged 16 and over,Employment_level,25605.0
1992-06-01,UK,Aged 16 and over,Employment_level,25542.0
1992-07-01,UK,Aged 16 and over,Employment_level,25525.0
1992-08-01,UK,Aged 16 and over,Employment_level,25509.0
1992-09-01,UK,Aged 16 and over,Employment_level,25454.0
1992-10-01,UK,Aged 16 and over,Employment_level,25406.0
1992-11-01,UK,Aged 16 and over,Employment_level,25336.0
1992-12-01,UK,Aged 16 and over,Employment_level,25301.0
1993-01-01,UK,Aged 16 and over,Employment_level,25274.0
1993-02-01,UK,Aged 16 and over,Employment_level,25282.0
1993-03-01,UK,Aged 16 and over,Employment_level,25258.0
1993-04-01,UK,Aged 16 and over,Employment_level,25286.0
1993-05-01,UK,Aged 16 and over,Employment_level,25293.0
1993-06-01,UK,Aged 16 and over,Employment_level,25293.0
1993-07-01,UK,Aged 16 and over,Employment_level,25278.0
1993-08-01,UK,Aged 16 and over,Employment_level,25316.0
1993-09-01,UK,Aged 16 and over,Employment_level,25320.0
1993-10-01,UK,Aged 16 and over,Employment_level,25319.0
1993-11-01,UK,Aged 16 and over,Employment_level,25320.0
1993-12-01,UK,Aged 16 and over,Employment_level,25322.0
1994-01-01,UK,Aged 16 and over,Employment_level,25362.0
1994-02-01,UK,Aged 16 and over,Employment_level,25408.0
1994-03-01,UK,Aged 16 and over,Employment_level,25451.0
1994-04-01,UK,Aged 16 and over,Employment_level,25455.0
1994-05-01,UK,Aged 16 and over,Employment_level,25451.0
1994-06-01,UK,Aged 16 and over,Employment_level,25516.0
1994-07-01,UK,Aged 16 and over,Employment_level,25517.0
1994-08-01,UK,Aged 16 and over,Employment_level,25559.0
1994-09-01,UK,Aged 16 and over,Employment_level,25561.0
1994-10-01,UK,Aged 16 and over,Employment_level,25594.0
1994-11-01,UK,Aged 16 and over,Employment_level,25600.0
1994-12-01,UK,Aged 16 and over,Employment_level,25583.0
1995-01-01,UK,Aged 16 and over,Employment_level,25638.0
1995-02-01,UK,Aged 16 and over,Employment_level,25670.0
1995-03-01,UK,Aged 16 and over,Employment_level,25705.0
1995-04-01,UK,Aged 16 and over,Employment_level,25733.0
1995-05-01,UK,Aged 16 and over,Employment_level,25770.0
1995-06-01,UK,Aged 16 and over,Employment_level,25791.0
1995-07-01,UK,Aged 16 and over,Employment_level,25838.0
1995-08-01,UK,Aged 16 and over,Employment_level,25852.0
1995-09-01,UK,Aged 16 and over,Employment_level,25869.0
1995-10-01,UK,Aged 16 and over,Employment_level,25891.0
1995-11-01,UK,Aged 16 and over,Employment_level,25982.0
1995-12-01,UK,Aged 16 and over,Employment_level,25987.0
1996-01-01,UK,Aged 16 and over,Employment_level,25981.0
1996-02-01,UK,Aged 16 and over,Employment_level,25970.0
1996-03-01,UK,Aged 16 and over,Employment_level,25977.0
1996-04-01,UK,Aged 16 and over,Employment_level,26002.0
1996-05-01,UK,Aged 16 and over,Employment_level,26009.0
1996-06-01,UK,Aged 16 and over,Employment_level,26006.0
1996-07-01,UK,Aged 16 and over,Employment_level,26063.0
1996-08-01,UK,Aged 16 and over,Employment_level,26062.0
1996-09-01,UK,Aged 16 and over,Employment_level,26120.0
1996-10-01,UK,Aged 16 and over,Employment_level,26177.0
1996-11-01,UK,Aged 16 and over,Employment_level,26198.0
1996-12-01,UK,Aged 16 and over,Employment_level,26258.0
1997-01-01,UK,Aged 16 and over,Employment_level,26324.0
1997-02-01,UK,Aged 16 and over,Employment_level,26381.0
1997-03-01,UK,Aged 16 and over,Employment_level,26428.0
1997-04-01,UK,Aged 16 and over,Employment_level,26450.0
1997-05-01,UK,Aged 16 and over,Employment_level,26514.0
1997-06-01,UK,Aged 16 and over,Employment_level,26493.0
1997-07-01,UK,Aged 16 and over,Employment_level,26509.0
1997-08-01,UK,Aged 16 and over,Employment_level,26572.0
1997-09-01,UK,Aged 16 and over,Employment_level,26603.0
1997-10-01,UK,Aged 16 and over,Employment_level,26622.0
1997-11-01,UK,Aged 16 and over,Employment_level,26636.0
1997-12-01,UK,Aged 16 and over,Employment_level,26632.0
1998-01-01,UK,Aged 16 and over,Employment_level,26658.0
