date,sheet,age,measure,value
Oct-Dec 2001,People - SA,Aged 16-24,Young people who were NEET_Total,833.0
Jan-Mar 2002,People - SA,Aged 16-24,Young people who were NEET_Total,859.0
Apr-Jun 2002,People - SA,Aged 16-24,Young people who were NEET_Total,873.0
Jul-Sep 2002,People - SA,Aged 16-24,Young people who were NEET_Total,873.0
Oct-Dec 2002,People - SA,Aged 16-24,Young people who were NEET_Total,836.0
Jan-Mar 2003,People - SA,Aged 16-24,Young people who were NEET_Total,893.0
Apr-Jun 2003,People - SA,Aged 16-24,Young people who were NEET_Total,891.0
Jul-Sep 2003,People - SA,Aged 16-24,Young people who were NEET_Total,877.0
Oct-Dec 2003,People - SA,Aged 16-24,Young people who were NEET_Total,847.0
Jan-Mar 2004,People - SA,Aged 16-24,Young people who were NEET_Total,836.0
Apr-Jun 2004,People - SA,Aged 16-24,Young people who were NEET_Total,879.0
Jul-Sep 2004,People - SA,Aged 16-24,Young people who were NEET_Total,918.0
Oct-Dec 2004,People - SA,Aged 16-24,Young people who were NEET_Total,922.0
Jan-Mar 2005,People - SA,Aged 16-24,Young people who were NEET_Total,925.0
Apr-Jun 2005,People - SA,Aged 16-24,Young people who were NEET_Total,947.0
Jul-Sep 2005,People - SA,Aged 16-24,Young people who were NEET_Total,935.0
Oct-Dec 2005,People - SA,Aged 16-24,Young people who were NEET_Total,1003.0
Jan-Mar 2006,People - SA,Aged 16-24,Young people who were NEET_Total,984.0
Apr-Jun 2006,People - SA,Aged 16-24,Young people who were NEET_Total,1022.0
Jul-Sep 2006,People - SA,Aged 16-24,Young people who were NEET_Total,1006.0
Oct-Dec 2006,People - SA,Aged 16-24,Young people who were NEET_Total,979.0
Jan-Mar 2007,People - SA,Aged 16-24,Young people who were NEET_Total,1000.0
Apr-Jun 2007,People - SA,Aged 16-24,Young people who were NEET_Total,1004.0
Jul-Sep 2007,People - SA,Aged 16-24,Young people who were NEET_Total,983.0
Oct-Dec 2007,People - SA,Aged 16-24,Young people who were NEET_Total,965.0
Jan-Mar 2008,People - SA,Aged 16-24,Young people who were NEET_Total,965.0
Apr-Jun 2008,People - SA,Aged 16-24,Young people who were NEET_Total,998.0
Jul-Sep 2008,People - SA,Aged 16-24,Young people who were NEET_Total,1034.0
Oct-Dec 2008,People - SA,Aged 16-24,Young people who were NEET_Total,1025.0
Jan-Mar 2009,People - SA,Aged 16-24,Young people who were NEET_Total,1097.0
Apr-Jun 2009,People - SA,Aged 16-24,Young people who were NEET_Total,1128.0
Jul-Sep 2009,People - SA,Aged 16-24,Young people who were NEET_Total,1122.0
Oct-Dec 2009,People - SA,Aged 16-24,Young people who were NEET_Total,1083.0
Jan-Mar 2010,People - SA,Aged 16-24,Young people who were NEET_Total,1128.0
Apr-Jun 2010,People - SA,Aged 16-24,Young people who were NEET_Total,1074.0
Jul-Sep 2010,People - SA,Aged 16-24,Young people who were NEET_Total,1120.0
Oct-Dec 2010,People - SA,Aged 16-24,Young people who were NEET_Total,1164.0
